Data Set,family_forming_threshold,family_merging_threshold,maximum_family_size,source_of_siblings,source_of_families,family_distance_method,Number of sibling pairs (wrt linkage),Number of sibling pairs (wrt ground truth),True  Positives,False Positives,False Negatives,Precision,Recall,F1 Measure
skye,10,8,30,Birth,Death,Closest,104271,41247,28972,75299,12275,0.2779,0.7024,0.3982
skye,10,8,30,Birth,Death,Furthest,100047,41247,29106,70941,12141,0.2909,0.7057,0.412
skye,10,8,30,Birth,Death,Mean,103198,41247,29233,73965,12014,0.2833,0.7087,0.4048
skye,10,8,30,Birth,Marriage,Closest,99919,41247,27723,72196,13524,0.2775,0.6721,0.3928
skye,10,8,30,Birth,Marriage,Furthest,95760,41247,27748,68012,13499,0.2898,0.6727,0.4051
skye,10,8,30,Birth,Marriage,Mean,99536,41247,28178,71358,13069,0.2831,0.6832,0.4003
skye,10,10,8,Birth,Birth,Closest,27594,41247,24272,3322,16975,0.8796,0.5885,0.7052
skye,10,10,8,Birth,Birth,Furthest,27535,41247,24272,3263,16975,0.8815,0.5885,0.7058
skye,10,10,8,Birth,Birth,Mean,27705,41247,24303,3402,16944,0.8772,0.5892,0.7049
skye,10,10,8,Birth,Death,Closest,11485,41247,6416,5069,34831,0.5586,0.1556,0.2433
skye,10,10,8,Birth,Death,Furthest,11344,41247,6391,4953,34856,0.5634,0.1549,0.243
skye,10,10,8,Birth,Death,Mean,11780,41247,6471,5309,34776,0.5493,0.1569,0.2441
skye,10,10,8,Birth,Marriage,Closest,9067,41247,5287,3780,35960,0.5831,0.1282,0.2102
skye,10,10,8,Birth,Marriage,Furthest,8945,41247,5263,3682,35984,0.5884,0.1276,0.2097
skye,10,10,8,Birth,Marriage,Mean,9277,41247,5296,3981,35951,0.5709,0.1284,0.2096
skye,10,10,20,Birth,Birth,Closest,58575,41247,28523,30052,12724,0.4869,0.6915,0.5715
skye,10,10,20,Birth,Birth,Furthest,57271,41247,28466,28805,12781,0.497,0.6901,0.5779
skye,10,10,20,Birth,Birth,Mean,60978,41247,28762,32216,12485,0.4717,0.6973,0.5627
skye,10,10,20,Birth,Death,Closest,56990,41247,17341,39649,23906,0.3043,0.4204,0.353
skye,10,10,20,Birth,Death,Furthest,55528,41247,17265,38263,23982,0.3109,0.4186,0.3568
skye,10,10,20,Birth,Death,Mean,59904,41247,17812,42092,23435,0.2973,0.4318,0.3522
skye,10,10,20,Birth,Marriage,Closest,52062,41247,16171,35891,25076,0.3106,0.3921,0.3466
skye,10,10,20,Birth,Marriage,Furthest,50748,41247,16164,34584,25083,0.3185,0.3919,0.3514
skye,10,10,20,Birth,Marriage,Mean,54795,41247,16712,38083,24535,0.305,0.4052,0.348
skye,10,10,30,Birth,Birth,Closest,87379,41247,29176,58203,12071,0.3339,0.7073,0.4537
skye,10,10,30,Birth,Birth,Furthest,83936,41247,29193,54743,12054,0.3478,0.7078,0.4664
skye,10,10,30,Birth,Birth,Mean,92212,41247,29635,62577,11612,0.3214,0.7185,0.4441
skye,10,10,30,Birth,Death,Closest,94286,41247,19928,74358,21319,0.2114,0.4831,0.2941
skye,10,10,30,Birth,Death,Furthest,92050,41247,20048,72002,21199,0.2178,0.486,0.3008
skye,10,10,30,Birth,Death,Mean,98267,41247,20372,77895,20875,0.2073,0.4939,0.292
skye,10,10,30,Birth,Marriage,Closest,88413,41247,19175,69238,22072,0.2169,0.4649,0.2958
skye,10,10,30,Birth,Marriage,Furthest,86435,41247,19107,67328,22140,0.2211,0.4632,0.2993
skye,10,10,30,Birth,Marriage,Mean,92561,41247,19765,72796,21482,0.2135,0.4792,0.2954
